ANO,UF,Código IBGE ,Município,Nº do Decreto,Data do Decreto,Desastre,SE/ECP,Nº da Portaria,Data da Portaria
2009,BA,2903276,BARROCAS,29,29/07/09,ESTIAGEM,SE,1124,23/12/09
2009,BA,2903508,BELO CAMPO,38,31/07/09,ESTIAGEM,SE,1124,23/12/09
2009,BA,2903805,BOA VISTA DO TUPIM,-,-,ESTIAGEM,SE,075,-
2009,BA,2903953,BOM JESUS DA SERRA,-,-,ESTIAGEM,SE,017,-
2009,BA,2904100,BOQUIRA,-,-,ESTIAGEM,SE,115,-
2009,BA,2905107,CAÉM,-,-,ESTIAGEM,SE,255,-
2009,BA,2905156,CAETANOS,12,05/06/09,ESTIAGEM,SE,999,10/11/09
2009,BA,2905404,CAIRU,424,19/05/09,ENXURRADAS,SE,1122,23/12/09
2009,BA,2905602,CAMACAN,1445,05/04/09,DESLIZAMENTOS DE SOLO E/OU ROCHA,SE,972,05/11/09
2009,BA,2906501,CANDEIAS,12,05/05/09,DESLIZAMENTOS DE SOLO E/OU ROCHA,SE,1000,10/11/09
2009,BA,2906824,CANUDOS,122,03/08/09,ESTIAGEM,SE,1124,23/12/09
2009,BA,2906873,CAPIM GROSSO,-,-,SECA,SE,136,-
2009,BA,2907202,CASA NOVA,-,-,ESTIAGEM,SE,116,-
2009,BA,2907707,CHORROCHÓ,-,-,ESTIAGEM,SE,018,-
2009,BA,2908408,CONCEIÇÃO DO COITÉ,-,-,ESTIAGEM,SE,302,-
2009,BA,2908606,CONDE,17,11/05/09,ENXURRADAS,SE,1141,23/12/09
2009,BA,2908903,CORAÇÃO DE MARIA,-,-,VENDAVAL,SE,072,-
2009,BA,2909208,CORONEL JOÃO SÁ,-,-,ESTIAGEM,SE,117,-
2009,BA,2909703,CRISTÓPOLIS,-,-,ESTIAGEM,SE,076,-
2009,BA,2910305,ELÍSIO MEDRADO,54,03/06/09,ENXURRADAS,SE,973,05/11/09
2009,BA,2910800,FEIRA DE SANTANA,-,-,ESTIAGEM,SE,118,-
2009,BA,2910859,FILADÉLFIA,-,-,ESTIAGEM,SE,019,-
2009,BA,2911808,GUARATINGA,155,07/04/09,ENXURRADAS,SE,880,22/09/09
2009,BA,2912509,IBIPITANGA,107,20/07/09,ESTIAGEM,SE,1124,23/12/09
2009,BA,2913002,IBITIARA,-,-,ESTIAGEM,SE,119,-
2009,BA,2913804,IPECAETÁ,-,-,ESTIAGEM,SE,020,-
2009,BA,2915601,ITAMARAJU,170,06/06/09,ENXURRADAS,SE,964,30/10/09
2009,BA,2917508,JACOBINA,-,-,ESTIAGEM,SE,120,-
2009,BA,2918100,JEREMOABO,-,-,ESTIAGEM,SE,741,-
2009,BA,2919207,LAURO DE FREITAS,3103,05/05/09,ALAGAMENTOS,SE,859,16/09/09
2009,BA,2919504,LIVRAMENTO DE NOSSA SENHORA,-,-,ESTIAGEM,SE,021,-
2009,BA,2919504,LIVRAMENTO DE NOSSA SENHORA,-,-,ESTIAGEM,SE,137,-
2009,BA,2919603,MACAJUBA,452,20/03/09,ESTIAGEM,SE,1123,23/12/09
